-9.3969, -38.2022
35.7011, 100.2689
50.4750, -68.7294
36.0703, 101.1856
-6.7006, -107.3669
53.5294, -63.9681
41.2117, -6.6856
53.4450, 49.4900
23.9742, 32.8778
25.8513, -99.1613
58.6947, 99.1489
43.1475, -79.0450
24.9631, 105.1556
-27.2667, -52.3167
21.8303, -73.7472
49.5592, -68.7328
-20.1531, -47.2797
-5.5194, -13.6206
55.9347, 92.2944
31.5647, 77.9803
24.9419, 105.1062
28.2517, 103.6594
24.0406, 107.5125
27.0358, 89.5969
34.6703, 112.4258
31.6000, 50.4667
32.0278, 49.4003
29.4492, 102.2172
56.2861, 101.7861
45.6122, -121.1344
53.8867, -73.4653
19.2539, -101.8097
56.0936, -122.2067
29.2094, 102.8364
45.3139, -73.9089
55.5069, -94.1069
36.0156, -114.7382
-8.8017, -63.9508
42.7600, 42.0300
30.1628, 101.0136
8.3039, -62.6678
-20.3828, -51.3622
-26.0067, -51.6667
6.2108, -74.8406
26.8211, 101.7811
-27.5667, -51.6667
-3.2833, -52.2000
50.6392, -68.7264
53.7858, -77.4519
51.0494, -118.1939
20.8083, 105.3239
34.6725, 100.6922
