-2.5861, -78.5583
-25.5433, -53.4967
17.5039, 105.0314
-12.2908, -74.6844
-18.4167, -49.2167
24.6222, 100.4489
-40.5861, -70.7525
33.1419, 73.6450
-9.4667, -40.8083
-9.3406, -56.7769
-31.2747, -57.9383
-9.1439, -38.3133
17.1783, -93.5983
31.8000, 50.0833
43.1431, -79.0398
30.4417, 110.3611
45.0064, -74.7950
-16.5236, -28.7614
42.9772, 46.8704
32.2161, 48.9364
-9.7428, -15.1256
30.5461, 102.0581
6.8472, -37.3014
25.0272, 107.0475
35.8283, 102.7064
30.3811, 78.4806
-40.1914, -69.9914
52.0778, -118.5664
43.7194, 126.6883
22.5642, 100.5128
49.3217, -68.3469
45.6442, -121.9406
32.5558, 111.4878
-15.5714, -32.7047
49.3086, -69.5639
-6.5894, -47.4648
7.7667, -63.0000
34.0897, 72.6983
36.9372, -111.4844
25.9594, 105.2508
22.2839, 76.4714
27.7442, 101.9297
26.3119, 118.8133
-25.5350, -53.0092
22.0525, 100.7650
28.7758, 110.9275
30.7397, 111.2722
53.8000, 127.3833
16.9417, -93.1006
